ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,ActiveDurationSec,LevenshteinDist,TotalKeystrokes,WPM,ActiveWPM,MeanWordWPM,CER,KSPC,BackspaceCount
MT10,Proposed,R,1,242,the fourth edition was better,the fourth edition sadhu edition was better,29,43,49.998,40.51,14,64,10.080403216128646,12.441372500617133,13.007710674904047,0.4827586206896552,1.4883720930232558,10
MT10,Proposed,R,2,234,exceed the maximum speed limit,exceed the maximum speed limit,30,30,22.726,16.679,0,33,15.312857520021122,20.86456022543318,13.609097964653648,0.0,1.1,1
MT10,Proposed,R,3,276,well connected with people,well connect with people connected with pwopow pwopow people,26,60,53.073,42.114000000000004,34,82,13.340116443389293,16.811511611340645,19.32840398884863,1.3076923076923077,1.3666666666666667,13
MT10,Proposed,R,4,23,love means many things,love means many thing things,22,28,17.939,11.366,6,30,18.061207425163055,28.50607073728665,16.774140811342598,0.2727272727272727,1.0714285714285714,1
MT10,Proposed,R,5,58,drove my chevy to the levee,crore drove my chevy to levee fuelereey levee the levee,27,55,54.977,40.534,28,98,11.786747185186535,15.98657916810579,11.987616273432192,1.037037037037037,1.7818181818181817,7
MT10,Proposed,R,6,144,want to join us for lunch,sang want to join us for lunch,25,30,24.839,19.267999999999997,5,40,14.010225854503,18.06103383848869,14.245134796278434,0.2,1.3333333333333333,3
MT10,Proposed,R,7,356,these barracks are big enough,these barracks are big enough,29,29,19.742,15.370999999999999,0,34,17.01955222368554,21.859345520785894,20.350041472040953,0.0,1.1724137931034482,0
MT10,Proposed,R,8,132,a fox is a very smart animal,a box to fox is very smart animal very smart animal very very smart very a very smart animal,28,92,103.172,65.70900000000002,64,174,10.584267049199395,16.618728028123996,12.426284730769332,2.2857142857142856,1.891304347826087,15
MT10,Proposed,R,9,357,sing the gospel and the blues,sing the gospel and the blues,29,29,14.775,11.366,0,38,22.741116751269033,29.561851134963927,22.894006834329627,0.0,1.3103448275862069,0
MT10,Proposed,R,10,43,Valium in the economy size,valium is in the economy size,26,29,23.761,19.438,3,49,14.140818989099786,17.28572898446342,18.56341799370436,0.11538461538461539,1.6896551724137931,6
MT10,Proposed,R,11,57,the cotton is high,the cotton is high,18,18,5.641,3.78,0,19,36.16380074454884,53.96825396825397,33.17331283239084,0.0,1.0555555555555556,0
MT10,Proposed,R,12,166,be home before midnight,te be home before midnight,23,26,19.575,16.779,3,44,15.325670498084293,17.879492222420883,20.718745450945885,0.13043478260869565,1.6923076923076923,7
MT10,Proposed,R,13,314,traveling requires a lot of fuel,traveling requires a lot or of fuel,32,35,17.491,12.890999999999998,3,41,23.326282087930938,31.64998836397487,19.23282063552252,0.09375,1.1714285714285715,1
MT10,Proposed,R,14,229,the acceptance speech was boring,the acceptance a speech was boring,32,34,27.046,23.930999999999997,2,62,14.641721511498927,16.547574276043626,18.068708169166086,0.0625,1.8235294117647058,13
MT10,Proposed,R,15,12,my favorite place to visit,my favorite place to visit,26,26,12.119,9.459,0,33,24.754517699480157,31.715826197272442,20.845239399938773,0.0,1.2692307692307692,0
MT10,Proposed,R,16,394,I like baroque and classical music,i like baroque and classical music,34,34,21.582,17.986,0,41,18.348623853211006,22.017124430112307,20.195318462466968,0.0,1.2058823529411764,3
MT10,Proposed,R,17,340,my favourite sport is racketball,mm my favorite splet favourite sport is racketball,32,50,35.939,28.646,18,61,16.361056234174576,20.526426028066748,20.84308843889096,0.5625,1.22,3
MT10,Proposed,R,18,302,a very traditional way to dress,a very grafitioyq grafi a very traditional way to dress,31,55,32.148,26.034999999999997,24,74,20.156774916013436,24.889571730362977,16.034586115798085,0.7741935483870968,1.3454545454545455,12
MT10,Proposed,R,19,423,rent is paid at the beginning of the month,rent is paid at the beginning le or of the month,42,48,33.541,27.619,6,73,16.815241048269286,20.420724863318732,19.80571383203324,0.14285714285714285,1.5208333333333333,10
MT10,Proposed,R,20,28,one heck of a question,one neck heck of a question,22,27,24.553,21.032,5,49,12.707204822221318,14.83453784709015,18.477320398626183,0.22727272727272727,1.8148148148148149,7
